"rules","support","confidence","coverage","lift","count"
"{Bahan Pokok,Bumbu & Rempah} => {Ikan & Seafood}",0.0967741935483871,0.75,0.129032258064516,7.75,3
"{Ikan & Seafood} => {Bumbu & Rempah}",0.0967741935483871,1,0.0967741935483871,4.42857142857143,3
"{Bahan Pokok,Ikan & Seafood} => {Bumbu & Rempah}",0.0967741935483871,1,0.0967741935483871,4.42857142857143,3
"{Buah} => {Bumbu & Rempah}",0.0967741935483871,0.75,0.129032258064516,3.32142857142857,3
"{Ikan & Seafood} => {Bahan Pokok}",0.0967741935483871,1,0.0967741935483871,3.1,3
"{Bumbu & Rempah,Ikan & Seafood} => {Bahan Pokok}",0.0967741935483871,1,0.0967741935483871,3.1,3
"{Minuman,Snack} => {Kantong & Tas}",0.0967741935483871,0.75,0.129032258064516,2.90625,3
"{Minuman,Snack} => {Susu & Olahan Susu}",0.0967741935483871,0.75,0.129032258064516,2.58333333333333,3
"{Kebersihan Rumah} => {Perawatan Tubuh}",0.129032258064516,0.666666666666667,0.193548387096774,2.2962962962963,4
"{Kantong & Tas,Snack} => {Minuman}",0.0967741935483871,0.75,0.129032258064516,1.9375,3
"{Kantong & Tas,Minuman} => {Snack}",0.0967741935483871,0.75,0.129032258064516,1.9375,3
"{Mie Instan} => {Bahan Pokok}",0.0967741935483871,0.6,0.161290322580645,1.86,3
"{Sayuran} => {Bahan Pokok}",0.129032258064516,0.571428571428571,0.225806451612903,1.77142857142857,4
"{Bumbu & Rempah} => {Bahan Pokok}",0.129032258064516,0.571428571428571,0.225806451612903,1.77142857142857,4
"{Kantong & Tas} => {Perawatan Tubuh}",0.129032258064516,0.5,0.258064516129032,1.72222222222222,4
"{Snack} => {Susu & Olahan Susu}",0.193548387096774,0.5,0.387096774193548,1.72222222222222,6
"{Daging & Olahan} => {Snack}",0.129032258064516,0.666666666666667,0.193548387096774,1.72222222222222,4
"{Kebersihan Rumah} => {Minuman}",0.129032258064516,0.666666666666667,0.193548387096774,1.72222222222222,4
"{Susu & Olahan Susu} => {Snack}",0.193548387096774,0.666666666666667,0.290322580645161,1.72222222222222,6
"{Minuman,Susu & Olahan Susu} => {Snack}",0.0967741935483871,0.6,0.161290322580645,1.55,3
"{Susu & Olahan Susu} => {Minuman}",0.161290322580645,0.555555555555556,0.290322580645161,1.43518518518519,5
"{Kantong & Tas} => {Snack}",0.129032258064516,0.5,0.258064516129032,1.29166666666667,4
"{Kantong & Tas} => {Minuman}",0.129032258064516,0.5,0.258064516129032,1.29166666666667,4
"{Snack,Susu & Olahan Susu} => {Minuman}",0.0967741935483871,0.5,0.193548387096774,1.29166666666667,3
