rules,support,confidence,lift,itemset
"{Bahan Pokok,Bumbu & Rempah} => {Ikan & Seafood}",0.0967741935483871,0.75,5.8125,1
"{Ikan & Seafood} => {Bahan Pokok,Bumbu & Rempah}",0.0967741935483871,0.75,5.8125,2
{Ikan & Seafood} => {Bumbu & Rempah},0.12903225806451613,1.0,4.428571428571429,3
"{Bahan Pokok,Ikan & Seafood} => {Bumbu & Rempah}",0.0967741935483871,1.0,4.428571428571429,4
{Bumbu & Rempah} => {Ikan & Seafood},0.12903225806451613,0.5714285714285714,4.428571428571429,5
{Buah} => {Bumbu & Rempah},0.0967741935483871,0.75,3.3214285714285716,6
"{Minuman,Snack} => {Kantong & Tas}",0.0967741935483871,0.75,2.90625,7
{Mie Instan} => {Frozen Food},0.0967741935483871,0.6,2.657142857142857,8
"{Minuman,Snack} => {Susu & Olahan Susu}",0.0967741935483871,0.75,2.583333333333333,9
{Ikan & Seafood} => {Bahan Pokok},0.0967741935483871,0.75,2.325,10
"{Bumbu & Rempah,Ikan & Seafood} => {Bahan Pokok}",0.0967741935483871,0.75,2.325,11
{Kebersihan Rumah} => {Perawatan Tubuh},0.0967741935483871,0.6,2.0666666666666664,12
"{Kantong & Tas,Minuman} => {Snack}",0.0967741935483871,0.75,1.9375,13
"{Kantong & Tas,Snack} => {Minuman}",0.0967741935483871,0.75,1.9375,14
{Mie Instan} => {Bahan Pokok},0.0967741935483871,0.6,1.8599999999999999,15
{Bumbu & Rempah} => {Bahan Pokok},0.12903225806451613,0.5714285714285714,1.7714285714285714,16
{Sayuran} => {Bahan Pokok},0.12903225806451613,0.5714285714285714,1.7714285714285714,17
{Susu & Olahan Susu} => {Snack},0.1935483870967742,0.6666666666666666,1.722222222222222,18
{Snack} => {Susu & Olahan Susu},0.1935483870967742,0.5,1.722222222222222,19
{Kantong & Tas} => {Perawatan Tubuh},0.12903225806451613,0.5,1.722222222222222,20
{Daging & Olahan} => {Snack},0.0967741935483871,0.6,1.55,21
{Kebersihan Rumah} => {Minuman},0.0967741935483871,0.6,1.55,22
"{Minuman,Susu & Olahan Susu} => {Snack}",0.0967741935483871,0.6,1.55,23
{Susu & Olahan Susu} => {Minuman},0.16129032258064516,0.5555555555555556,1.4351851851851853,24
{Kantong & Tas} => {Snack},0.12903225806451613,0.5,1.2916666666666667,25
{Kantong & Tas} => {Minuman},0.12903225806451613,0.5,1.2916666666666667,26
"{Snack,Susu & Olahan Susu} => {Minuman}",0.0967741935483871,0.5,1.2916666666666667,27
